score,class,case,Topic,,Title,URL
15,good,30 days of notice are given before closing your account,Suspension and Censorship,https://edit.tosdr.org/cases/206,30 days of notice are given before closing your account,https://edit.tosdr.org/cases/206
30,good,A complaint mechanism is provided for the handling of personal data,Personal Data,https://edit.tosdr.org/cases/300,a changelog or past policy versions are available for review,https://edit.tosdr.org/cases/507
10,good,A free help desk is provided,Transparency,https://edit.tosdr.org/cases/232,A complaint mechanism is provided for the handling of personal data,https://edit.tosdr.org/cases/300
50,bad,A license is kept on user-generated content even after you close your account,Copyright License,https://edit.tosdr.org/cases/130,A free help desk is provided,https://edit.tosdr.org/cases/232
40,good,A list of all cookies set by the website is provided,Trackers,https://edit.tosdr.org/cases/306,A license is kept on user-generated content even after you close your account,https://edit.tosdr.org/cases/130
10,good,Accessibility to this service is guaranteed at 99% or more,Guarantee,https://edit.tosdr.org/cases/158,A list of all cookies set by the website is provided,https://edit.tosdr.org/cases/306
30,neutral,Alternative accounts are not allowed,Anonymity,https://edit.tosdr.org/cases/324,Accessibility to this service is guaranteed at 99% or more,https://edit.tosdr.org/cases/158
10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Governance,https://edit.tosdr.org/cases/149,All Traffic is unencrypted (no https),https://edit.tosdr.org/cases/491
80,bad,App required for this service requires broad device permissions,Personal Data,https://edit.tosdr.org/cases/322,Alternative accounts are not allowed,https://edit.tosdr.org/cases/324
50,good,Archives of their agreements are provided so that changes can be viewed over time,Transparency,https://edit.tosdr.org/cases/197,An anonymous payment method is offered,https://edit.tosdr.org/cases/405
50,bad,Blocking first party cookies may limit your ability to use the service,Trackers,https://edit.tosdr.org/cases/375,An audio version of the Terms of Service is provided,https://edit.tosdr.org/cases/494
50,neutral,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",Notice of Changing Terms,https://edit.tosdr.org/cases/277,An onion site accessible over Tor is provided,https://edit.tosdr.org/cases/406
90,good,Content is published under a free license instead of a bilateral one,Copyright License,https://edit.tosdr.org/cases/131,Any liability on behalf of the service is only limited to the fees you paid as a user,https://edit.tosdr.org/cases/149
15,good,Copyright license limited for the purposes of that same service but transferable and sublicenseable,Copyright License,https://edit.tosdr.org/cases/135,App required for this service requires broad device permissions,https://edit.tosdr.org/cases/322
35,bad,Critical changes to the terms are made without user involvement,User Involvement in Changing Terms,https://edit.tosdr.org/cases/120,Archives of their agreements are provided so that changes can be viewed over time,https://edit.tosdr.org/cases/197
80,bad,"defend, indemnify, hold harmless; survives termination",Governance,https://edit.tosdr.org/cases/147,behavioral data is collected,https://edit.tosdr.org/cases/513
60,bad,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Trackers,https://edit.tosdr.org/cases/233,Blocking first party cookies may limit your ability to use the service,https://edit.tosdr.org/cases/375
50,bad,Extra data may be collected about you through promotions,Advertising,https://edit.tosdr.org/cases/211,Changes in policies are applied retroactively.,https://edit.tosdr.org/cases/502
10,neutral,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,Governance,https://edit.tosdr.org/cases/295,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",https://edit.tosdr.org/cases/277
90,good,Features of the website are made available under a free software license,Transparency,https://edit.tosdr.org/cases/171,Content is published under a free license instead of a bilateral one,https://edit.tosdr.org/cases/131
